approach,variable,variable_name,fitted_distribution_type,ground_truth,mean,median,mode,mu,sigma,a,b,std,associated_baseline_std
statistical_baseline_n10,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",lognormal,115071.80142433492,107336.81928583772,107299.108437568,107223.72648344527,11.58337561952153,0.02651013496296405,,,2846.0135866376486,
statistical_baseline_n10,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",lognormal,115071.80142433492,107388.29843673547,107248.83254384999,106970.44389868103,11.58290695135899,0.0509813820736384,,,5478.36319233771,
statistical_baseline_n10,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",lognormal,115071.80142433492,108665.5787592443,108621.41611259364,108533.14465626156,11.59562386881368,0.02851285320494625,,,3098.9955317671725,
statistical_baseline_n10,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",lognormal,115071.80142433492,109226.09839383274,108971.14907450548,108463.03431124176,11.598838438785533,0.06836477503607738,,,7475.951109238175,
statistical_baseline_n10,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",lognormal,115071.80142433492,102279.67347876214,102190.11671731123,102011.2383752329,11.534590246765415,0.041856665168777694,,,4282.961825685789,
statistical_baseline_n10,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",lognormal,115071.80142433492,110398.31364057059,110360.47316572155,110284.83112254011,11.611507315796855,0.02618480157575867,,,2891.2535153519284,
statistical_baseline_n10,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",lognormal,115071.80142433492,108346.43999640955,108191.64006249682,107882.70338971025,11.591659378661802,0.05347469020311778,,,5797.93668079205,
statistical_baseline_n10,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",lognormal,115071.80142433492,116334.31666207411,116195.74482806653,115919.0961437203,11.663031503349636,0.0488233922147873,,,5683.222441750963,
statistical_baseline_n10,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",lognormal,115071.80142433492,115010.34489224081,114961.3623965009,114863.45998054702,11.652351371730882,0.029188598919668234,,,3357.705973084142,
statistical_baseline_n10,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",lognormal,115071.80142433492,113034.97134269009,112961.10136821166,112813.5062129688,11.634798802752233,0.03615876025720172,,,4088.54075335984,
statistical_baseline_n10,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",lognormal,115071.80142433492,117531.37700686477,117392.99882661832,117116.73104218768,11.673282549390203,0.04854000173152576,,,5708.335310675747,
statistical_baseline_n10,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",lognormal,115071.80142433492,119789.861540348,119696.98732260667,119511.45485008722,11.69271872266297,0.03938553563330462,,,4719.818111410485,
statistical_baseline_n20,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",gaussian,115062.5,115149.99999942425,115149.99999942425,115149.99999942425,115149.99999942425,4678.914066532511,,,4678.914066532511,
statistical_baseline_n20,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",gaussian,115062.5,114949.99999942526,114949.99999942526,114949.99999942526,114949.99999942526,4533.921852912584,,,4533.921852912584,
statistical_baseline_n20,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",gaussian,115062.5,117449.99999941276,117449.99999941276,117449.99999941276,117449.99999941276,4181.711435073964,,,4181.711435073964,
statistical_baseline_n20,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",gaussian,115062.5,113749.99999943125,113749.99999943125,113749.99999943125,113749.99999943125,3702.5062635342565,,,3702.5062635342565,
statistical_baseline_n20,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",gaussian,115062.5,121449.99999939276,121449.99999939276,121449.99999939276,121449.99999939276,4595.464010693438,,,4595.464010693438,
statistical_baseline_n20,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",gaussian,115062.5,114149.99999942924,114149.99999942924,114149.99999942924,114149.99999942924,3635.370827379994,,,3635.370827379994,
statistical_baseline_n20,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",gaussian,115062.5,111774.99999944112,111774.99999944112,111774.99999944112,111774.99999944112,2656.787484313868,,,2656.787484313868,
statistical_baseline_n20,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",gaussian,115062.5,120599.999999397,120599.999999397,120599.999999397,120599.999999397,2818.780998188711,,,2818.780998188711,
statistical_baseline_n20,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",gaussian,115062.5,112549.99999943725,112549.99999943725,112549.99999943725,112549.99999943725,4189.413349198018,,,4189.413349198018,
statistical_baseline_n20,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",gaussian,115062.5,115124.99999942438,115124.99999942438,115124.99999942438,115124.99999942438,3676.002369556509,,,3676.002369556509,
statistical_baseline_n20,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",gaussian,115062.5,118174.99999940912,118174.99999940912,118174.99999940912,118174.99999940912,3855.4942000010155,,,3855.4942000010155,
statistical_baseline_n20,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",gaussian,115062.5,112824.99999943588,112824.99999943588,112824.99999943588,112824.99999943588,2626.6035202514067,,,2626.6035202514067,
statistical_baseline_n20,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",gaussian,115062.5,112999.999999435,112999.999999435,112999.999999435,112999.999999435,2662.6065582761335,,,2662.6065582761335,
statistical_baseline_n20,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",gaussian,115062.5,109174.99999945413,109174.99999945413,109174.99999945413,109174.99999945413,2596.879453248287,,,2596.879453248287,
statistical_baseline_n20,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",gaussian,115062.5,111874.99999944062,111874.99999944062,111874.99999944062,111874.99999944062,2593.4824687581445,,,2593.4824687581445,
statistical_baseline_n20,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",gaussian,115062.5,116424.99999941787,116424.99999941787,116424.99999941787,116424.99999941787,3820.6976147144783,,,3820.6976147144783,
statistical_baseline_n20,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",gaussian,115062.5,116299.99999941849,116299.99999941849,116299.99999941849,116299.99999941849,3605.624261584181,,,3605.624261584181,
statistical_baseline_n20,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",gaussian,115062.5,112924.99999943537,112924.99999943537,112924.99999943537,112924.99999943537,2742.519730767056,,,2742.519730767056,
statistical_baseline_n20,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",gaussian,115062.5,118099.99999940951,118099.99999940951,118099.99999940951,118099.99999940951,4436.481536189936,,,4436.481536189936,
statistical_baseline_n20,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",gaussian,115062.5,115274.99999942363,115274.99999942363,115274.99999942363,115274.99999942363,2590.3350220159246,,,2590.3350220159246,
statistical_baseline_n20,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",gaussian,115062.5,118024.99999940988,118024.99999940988,118024.99999940988,118024.99999940988,4523.254970285611,,,4523.254970285611,
statistical_baseline_n20,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",gaussian,115062.5,114149.99999942924,114149.99999942924,114149.99999942924,114149.99999942924,4496.504490321104,,,4496.504490321104,
statistical_baseline_n20,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",gaussian,115062.5,113874.99999943063,113874.99999943063,113874.99999943063,113874.99999943063,4172.730237086012,,,4172.730237086012,
statistical_baseline_n20,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",gaussian,115062.5,118449.99999940775,118449.99999940775,118449.99999940775,118449.99999940775,3814.428977052775,,,3814.428977052775,
statistical_baseline_n20,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",gaussian,115062.5,118299.99999940851,118299.99999940851,118299.99999940851,118299.99999940851,4433.781800284412,,,4433.781800284412,
statistical_baseline_n20,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",lognormal,115071.80142433492,112812.02908921188,112719.64504832926,112535.10387005942,11.632658997599624,0.040478528198202135,,,4568.33609028817,
statistical_baseline_n20,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",lognormal,115071.80142433492,112676.90087605137,112586.95083114257,112407.26610554328,11.63148109837292,0.03996547201627415,,,4504.984293175356,
statistical_baseline_n20,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",lognormal,115071.80142433492,115525.10268878931,115458.63066149708,115325.80132699099,11.656667568692674,0.03392803953740235,,,3920.6684794595644,
statistical_baseline_n20,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",lognormal,115071.80142433492,111956.73205905022,111891.69586841065,111761.73680466937,11.62528668125506,0.034090276610489766,,,3817.7451057901944,
statistical_baseline_n20,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",lognormal,115071.80142433492,119291.4733797795,119213.8872955934,119058.86647824192,11.688674530984967,0.03607221805673254,,,4304.5082259374285,
statistical_baseline_n20,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",lognormal,115071.80142433492,112576.16272952053,112528.8422137442,112434.2608462646,11.63096484300138,0.028997606898200013,,,3265.1256682623243,
statistical_baseline_n20,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",lognormal,115071.80142433492,110573.49639370161,110543.05340915777,110482.19258235893,11.613160347668662,0.023467292474828344,,,2595.2178772205057,
statistical_baseline_n20,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",lognormal,115071.80142433492,119296.66256671185,119262.93448313957,119195.50692056089,11.689085868136074,0.023780850543333298,,,2837.377248038178,
statistical_baseline_n20,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",lognormal,115071.80142433492,110549.61862392159,110475.41742102728,110327.164393954,11.612548308412507,0.03664500132100547,,,4052.451309125688,
statistical_baseline_n20,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",lognormal,115071.80142433492,113329.72078692698,113264.34075829985,113133.69383269674,11.63747966454084,0.033972561454669856,,,3851.21205521321,
statistical_baseline_n20,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",lognormal,115071.80142433492,116466.64115934724,116412.84397754494,116305.32415093557,11.664898151641783,0.03039793948823323,,,3541.1639184637015,
statistical_baseline_n20,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",lognormal,115071.80142433492,111638.06344801713,111608.91267519473,111550.63396298773,11.62275618842145,0.02285400093511331,,,2551.70959208161,
statistical_baseline_n20,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",lognormal,115071.80142433492,111790.54539157415,111759.97327030863,111698.85410778935,11.624108754760348,0.023388638581131736,,,2614.9862727476166,
statistical_baseline_n20,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",lognormal,115071.80142433492,108010.561075979,107981.46984211603,107923.31087831117,11.589714915849628,0.023210911932375042,,,2507.3613213108665,
statistical_baseline_n20,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",lognormal,115071.80142433492,110689.08485973526,110659.23361090956,110599.55526244015,11.614210790808288,0.02322593122488428,,,2571.2038195447135,
statistical_baseline_n20,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",lognormal,115071.80142433492,114701.99089882542,114645.84630454064,114533.63954787485,11.649603058275549,0.031292239781198876,,,3590.161041975825,
statistical_baseline_n20,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",lognormal,115071.80142433492,114703.8449990982,114654.78555895817,114556.72961864829,11.64968102800768,0.02925053066088127,,,3355.866123819111,
statistical_baseline_n20,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",lognormal,115071.80142433492,111669.95570992334,111636.45234215542,111569.47575877815,11.623002909486393,0.024497605501452135,,,2736.057010383197,
statistical_baseline_n20,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",lognormal,115071.80142433492,115888.91365419395,115802.53147347126,115629.9602286989,11.659641704620183,0.03861776081508932,,,4477.03943228573,
statistical_baseline_n20,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",lognormal,115071.80142433492,114084.0784111735,114055.12000504455,113997.22524279596,11.64443711934009,0.022532914484225747,,,2570.973117427481,
statistical_baseline_n20,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",lognormal,115071.80142433492,115905.96091947437,115829.48202481538,115676.67559272228,11.659874406059494,0.036333277314413326,,,4212.6336258110505,
statistical_baseline_n20,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",lognormal,115071.80142433492,111977.7706441186,111895.43609492676,111730.94856784453,11.625320107900137,0.03835482463134353,,,4296.467784235182,
statistical_baseline_n20,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",lognormal,115071.80142433492,111948.37667805197,111880.78520858687,111745.72467484233,11.62518916560184,0.03475502555206308,,,3891.943914034178,
statistical_baseline_n20,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",lognormal,115071.80142433492,116751.35675461085,116697.7353177791,116590.56631439111,11.667342412069031,0.03031119988036339,,,3539.6867182240885,
statistical_baseline_n20,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",lognormal,115071.80142433492,116273.66256135647,116203.41024783252,116063.03293405908,11.66309747105736,0.03476724302749337,,,4043.7366003678408,
statistical_baseline_n30,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",gaussian,115062.5,113783.33333295405,113783.33333295405,113783.33333295405,113783.33333295405,3390.2906779784744,,,3390.2906779784744,
statistical_baseline_n30,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",gaussian,115062.5,115016.66666628329,115016.66666628329,115016.66666628329,115016.66666628329,2528.6272834635015,,,2528.6272834635015,
statistical_baseline_n30,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",gaussian,115062.5,115433.33333294856,115433.33333294856,115433.33333294856,115433.33333294856,3644.9250921190114,,,3644.9250921190114,
statistical_baseline_n30,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",gaussian,115062.5,116899.99999961033,116899.99999961033,116899.99999961033,116899.99999961033,3583.438918513307,,,3583.438918513307,
statistical_baseline_n30,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",gaussian,115062.5,113349.99999962217,113349.99999962217,113349.99999962217,113349.99999962217,3552.0877784994054,,,3552.0877784994054,
statistical_baseline_n30,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",gaussian,115062.5,121399.99999959531,121399.99999959531,121399.99999959531,121399.99999959531,3355.335432118738,,,3355.335432118738,
statistical_baseline_n30,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",gaussian,115062.5,112683.33333295771,112683.33333295771,112683.33333295771,112683.33333295771,3085.140818455468,,,3085.140818455468,
statistical_baseline_n30,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",gaussian,115062.5,116483.33333294505,116483.33333294505,116483.33333294505,116483.33333294505,3264.708831542829,,,3264.708831542829,
statistical_baseline_n30,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",gaussian,115062.5,116599.99999961133,116599.99999961133,116599.99999961133,116599.99999961133,2918.569166044056,,,2918.569166044056,
statistical_baseline_n30,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",gaussian,115062.5,112233.33333295921,112233.33333295921,112233.33333295921,112233.33333295921,3005.2380835247,,,3005.2380835247,
statistical_baseline_n30,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",gaussian,115062.5,113099.99999962299,113099.99999962299,113099.99999962299,113099.99999962299,2718.0114434770003,,,2718.0114434770003,
statistical_baseline_n30,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",gaussian,115062.5,117799.99999960732,117799.99999960732,117799.99999960732,117799.99999960732,2896.9464700865183,,,2896.9464700865183,
statistical_baseline_n30,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",gaussian,115062.5,112883.33333295706,112883.33333295706,112883.33333295706,112883.33333295706,2693.4022552875535,,,2693.4022552875535,
statistical_baseline_n30,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",gaussian,115062.5,116333.33333294555,116333.33333294555,116333.33333294555,116333.33333294555,2583.027419776793,,,2583.027419776793,
statistical_baseline_n30,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",gaussian,115062.5,116416.66666627862,116416.66666627862,116416.66666627862,116416.66666627862,3063.0428989380816,,,3063.0428989380816,
statistical_baseline_n30,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",gaussian,115062.5,118516.6666662716,118516.6666662716,118516.6666662716,118516.6666662716,3073.2890140618388,,,3073.2890140618388,
statistical_baseline_n30,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",gaussian,115062.5,109283.33333296904,109283.33333296904,109283.33333296904,109283.33333296904,2392.599141377827,,,2392.599141377827,
statistical_baseline_n30,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",gaussian,115062.5,117199.99999960932,117199.99999960932,117199.99999960932,117199.99999960932,3292.240965463572,,,3292.240965463572,
statistical_baseline_n30,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",gaussian,115062.5,113699.99999962101,113699.99999962101,113699.99999962101,113699.99999962101,2994.6887850844096,,,2994.6887850844096,
statistical_baseline_n30,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",gaussian,115062.5,118349.9999996055,118349.9999996055,118349.9999996055,118349.9999996055,3499.4375574297633,,,3499.4375574297633,
statistical_baseline_n30,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",gaussian,115062.5,119649.99999960118,119649.99999960118,119649.99999960118,119649.99999960118,3552.2495705471188,,,3552.2495705471188,
statistical_baseline_n30,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",gaussian,115062.5,113499.99999962165,113499.99999962165,113499.99999962165,113499.99999962165,2526.9808435931527,,,2526.9808435931527,
statistical_baseline_n30,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",gaussian,115062.5,115433.33333294855,115433.33333294855,115433.33333294855,115433.33333294855,3558.762323053962,,,3558.762323053962,
statistical_baseline_n30,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",gaussian,115062.5,111599.99999962801,111599.99999962801,111599.99999962801,111599.99999962801,2438.013134902517,,,2438.013134902517,
statistical_baseline_n30,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",gaussian,115062.5,113049.99999962318,113049.99999962318,113049.99999962318,113049.99999962318,2732.4518483265883,,,2732.4518483265883,
statistical_baseline_n30,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",lognormal,115071.80142433492,112036.07749108097,111990.82528380862,111900.37569499345,11.62617222981299,0.028424955608248387,,,3185.2639134135734,
statistical_baseline_n30,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",lognormal,115071.80142433492,113799.93060118903,113772.45468663778,113717.52275733097,11.641955721170197,0.02197588098828963,,,2501.155701914225,
statistical_baseline_n30,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",lognormal,115071.80142433492,113438.1433359744,113383.56680279024,113274.49249618138,11.638531746219163,0.031023490692655583,,,3520.094134789426,
statistical_baseline_n30,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",lognormal,115071.80142433492,114945.11308712189,114891.68918159566,114784.91584969495,11.651745130338298,0.03049214884655008,,,3505.7383494462642,
statistical_baseline_n30,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",lognormal,115071.80142433492,111453.41192593741,111402.66467547382,111301.23948312672,11.620906526076801,0.030180332319948044,,,3364.4671143196765,
statistical_baseline_n30,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",lognormal,115071.80142433492,119621.06484347502,119573.68809054574,119478.99086893101,11.691688097052356,0.028147305075174253,,,3367.677611687285,
statistical_baseline_n30,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",lognormal,115071.80142433492,111114.83686151534,111074.90523426786,110995.08502561327,11.617960074634876,0.02681183263559852,,,2979.727905724145,
statistical_baseline_n30,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",lognormal,115071.80142433492,114864.97359010135,114825.12005909858,114745.45447501772,11.651165554776714,0.026344639998703977,,,3026.601508173515,
statistical_baseline_n30,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",lognormal,115071.80142433492,115115.417971255,115077.93731189608,115003.01259941341,11.653364893555388,0.02552038472445859,,,2938.2681575522274,
statistical_baseline_n30,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",lognormal,115071.80142433492,110723.18851034461,110685.26873422744,110609.4681371196,11.614446036076746,0.02617373958855777,,,2898.5363094983218,
statistical_baseline_n30,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",lognormal,115071.80142433492,111823.71583942728,111794.89966268103,111737.28958444693,11.624421218471815,0.022703572435794444,,,2539.125024967857,
statistical_baseline_n30,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",lognormal,115071.80142433492,116404.02932814803,116371.4180905543,116306.2230214672,11.66454223507715,0.023672550534319374,,,2755.9663614079063,
statistical_baseline_n30,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",lognormal,115071.80142433492,111516.85894125733,111482.82944372421,111414.80159790997,11.621625862003295,0.02470618206595006,,,2755.5763075269874,
statistical_baseline_n30,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",lognormal,115071.80142433492,115146.92333392684,115121.74047381754,115071.39127501873,11.65374546022578,0.02091534836605472,,,2408.601421761938,
statistical_baseline_n30,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",lognormal,115071.80142433492,114907.50289570136,114870.84125046998,114797.55304735781,11.65156365661285,0.025262796577166555,,,2903.348094165826,
statistical_baseline_n30,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",lognormal,115071.80142433492,117043.96095588135,117009.47328382438,116940.52842268518,11.670010178739957,0.024277526026981036,,,2841.9565591914316,
statistical_baseline_n30,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",lognormal,115071.80142433492,108096.70233219862,108068.62620841012,108012.4958357043,11.590521732163207,0.022793213186928552,,,2464.191229799553,
statistical_baseline_n30,single_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",lognormal,115071.80142433492,115436.12495196109,115388.67512249254,115293.83396806159,11.65606149238688,0.028675176032965537,,,3310.831776107215,
