Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,Salary_Range,Midpoint_Salary,job_category,seniority_level,Midpoint Salary,IsPublic
iO Data Scientist,Employer Provided Salary:$81K - $129K,"We've made a lot of progress since opening the doors in 1942, but one thing has never changed - our commitment to serve, heal, lead, educate, and innovate. We believe that every award earned, every record broken and every patient helped is because of the dedicated employees who fill our hallways.
At Ochsner, whether you work with patients every day or support those who do, you are making a difference and that matters. Come make a difference at Ochsner Health and discover your future today!
This job uses advanced and predictive data analytics using machine learning and artificial intelligence technology for healthcare innovation and outcomes. Performs analysis using data science techniques on structured and unstructured data sets and develops algorithms for targeted business needs. Pilots the delivery of patient-centered and personalized advanced analytics solutions that improve contract performance, program effectiveness, and clinical, financial, and utilization outcomes across the continuum of care. Implements advanced scientific techniques, forecasting, and machine learning to predict financial and clinical outcomes in order to guide investments that improve health outcomes and reduce costs.",3.6,"Ochsner Health System
3.6",LA,10000+ Employees,1942,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$5 to $10 billion (USD),"(81000, 129000)",105000.0,Data Scientist,Mid,105000.0,not public
Data Scientist,$83K - $123K (Glassdoor est.),"LinQuest is seeking a part-time Data Scientist to join our team. An active Secret security clearance is required.
Project Overview:
LinQuest has a nationally-recognized reputation for technical excellence. We provide world-class engineering and hands-on support to our DoD customers for critically important National Security space programs, systems, and vehicles, including spacecraft. Our people are working side-by-side with government engineers, project managers, and operators to solve tough challenges on the critical systems and equipment that keep America and her allies safe. You will be joining a team of professionals and providing your unique viewpoints and skills, with opportunities to gain valuable experience and exposure to Data Science.






Required",4.0,"LinQuest Corporation
4.0",TX,1001 to 5000 Employees,2004,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),"(83000, 123000)",103000.0,Data Scientist,Mid,103000.0,not public
"Principal Data Scientist, Applied AI",Employer Provided Salary:$250K - $275K,"Movable Ink scales content personalization for marketers through data-activated content generation and AI decisioning. The world's most innovative brands rely on Movable Ink to maximize revenue, simplify workflow and boost marketing agility. Headquartered in New York City with close to 600 employees, Movable Ink serves its global client base with operations throughout North America, Central America, Europe, Australia, and Japan.
We are looking for a Principal Data Scientist who will work with our Product and Engineering teams to create artificial intelligence based recommendations and insights extracted from modeling and analysis of very large sets including Movable Ink's historical data. The ideal candidate is an expert at using large datasets of various kinds and presenting insights from those datasets to senior leaders. This data may include images, text and hypertext to find opportunities for computer vision, natural language processing. This candidate should have a passion for discovering solutions hidden in large data sets and working with stakeholders to create value for our clients.",3.9,"Movable Ink
3.9",Remote,501 to 1000 Employees,2010,Company - Private,Software Development,Information Technology,$100 to $500 million (USD),"(250000, 275000)",262500.0,Data Scientist,Senior,262500.0,not public
Data Engineer - AI/ML,Employer Provided Salary:$74.66 - $98.94 Per Hour,"If you're ready to be part of our legacy of hope and innovation, we encourage you to take the first step and explore our current job openings. Your best is waiting to be discovered.

Day - 08 Hour (United States of America)
This is a Stanford Health Care job.

A Brief Overview
The Data Engineer will be part of a team building Stanford Health Care's (SHC) solutions incorporating Artificial Intelligence including providing health care solutions in the areas of patient care, medical research and administrative services. This group is designed to bring Artificial Intelligence (AI), predictive algorithms and other emerging machine learning (ML) based innovations in data science into healthcare and will partner closely with individuals across clinical specialties and operations areas to deploy algorithms that can lead to better patient outcomes. Reporting to the Data Science Director and working closely with Stanford Medicine's inaugural Chief Data Scientist, this role will be responsible for maintaining compute frameworks, analysis tooling, and/or model implementations used or created by the team. The individual will design, implement, and support data processing software and infrastructure.


Stanford Health Care













Base Pay Scale: Generally starting at $74.66 - $98.94 per hour",3.9,"Stanford Health Care
3.9",CA,10000+ Employees,1957,Hospital,Health Care Services & Hospitals,Healthcare,$1 to $5 billion (USD),"(155292, 205795)",180543.5,Data Engineer,Mid,180543.5,not public
Staff Data Scientist - Deep Learning,Employer Provided Salary:$139K - $209K,"Job Description Summary
The Staff Data Scientist will work in teams addressing statistical, machine learning and data understanding problems in a commercial technology and consultancy development environment. In this role, you will contribute to the development and deployment of modern machine learning, operational research, semantic analysis, and statistical methods for finding structure in large data sets.

GE Healthcare is a leading global medical technology and digital solutions innovator. Our Digital organization is structured around three major areas: Products & Platform, Go to Market and Centers of Excellence.

GE HealthCare is a leading global medical technology and digital solutions innovator. Our purpose is to create a world where healthcare has no limits. Unlock your ambition, turn ideas into world-changing realities, and join an organization where every voice makes a difference, and every difference builds a healthier world.",4.3,"GE Healthcare
4.3",CA,10000+ Employees,1892,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),"(139000, 209000)",174000.0,Data Scientist,Senior,174000.0,public
Data Scientist,$90K - $124K (Glassdoor est.),"Data Scientist
Job Summary
The data scientist will help solve challenging problems in a variety of domains. Our team works on a large number of high-impact projects: algorithmic stock trading, an instant-decision underwriting system, staffing / scheduling optimization, fraud detection, and LLMs to automate business processes, to name a few. The goal of any data science effort at Americo is to either 1) deploy a production-level system in the cloud or 2) deliver a presentation to executive-level stakeholders to inform broader strategic endeavors. We focus on understanding the levers that drive our business and intelligently pulling them. To enable success, we provide professional development, collaboration, and the freedom to explore and innovate. Likewise, we leverage modern MLOps constructs to ensure that projects reach production and can be employed for ongoing business impact.",3.8,"Americo
3.8",MO,501 to 1000 Employees,1992,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),"(90000, 124000)",107000.0,Data Scientist,Mid,107000.0,not public
"Data Scientist, New Product Introduction",$119K - $169K (Glassdoor est.),"What to Expect
We're the New Product Introduction Team at the one of the world’s largest manufacturing facilities located in Austin, TX. This small but fast-growing central team helps coordinate cross functional teams to leverage the data we collect. We help product and process engineers through direct support by doing data analysis and understanding how they need to align on managing change.
We're looking for a talented individual to join us in providing leadership in the definition and implementation of processes and tools to enable data science at Tesla. Your work will affect Tesla engineers and production teams daily, the profitability of the company, as well as improve the functionality of products we produce now and in the future. In this position, you will be responsible for retrieving, analyzing, and summarizing results to share with cross-functional teams.


What You’ll Do
What You’ll Bring",3.6,"Tesla
3.6",TX,10000+ Employees,2003,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$1 to $5 billion (USD),"(119000, 169000)",144000.0,Data Scientist,Mid,144000.0,public
Data Scientist,$90K - $125K (Glassdoor est.),"Data Scientist
School of Public Health - Health Policy and Management
83600BR
University Job Title
Data Scientist 1
Bargaining Unit
None - Not included in the union (Yale Union Group)
Time Type",4.2,"Yale University
4.2",CT,10000+ Employees,1701,Nonprofit Organization,Colleges & Universities,Education,$1 to $5 billion (USD),"(90000, 125000)",107500.0,Data Scientist,Mid,107500.0,not public
Data Scientist,Employer Provided Salary:$97K - $198K,"Keystone is a premier strategy and economics consulting firm solving the most complex challenges of competition, strategy, and intellectual property for leading technology firms and global brands. We work at the forefront of influential technology cases changing consumer behavior and regulation laws and impacting society on a global scale. Keystone brings an interdisciplinary approach, leveraging the intersection of economics, technology, and business strategy to deliver transformative ideas.
The Keystone Advanced Technology Solutions (K.ATS) group is made up of engineers, computer scientists, and data scientists, and plays a key role in Keystone’s interdisciplinary approach. Data Scientists on the K.ATS team focus on everything from natural language processing to machine learning models, and help find creative ways to apply those approaches to solve unique, large-scale, highly complex problems.",4.0,"Keystone Strategy
4.0",MA,51 to 200 Employees,2003,Private Practice / Firm,Business Consulting,Management & Consulting,$25 to $100 million (USD),"(97000, 198000)",147500.0,Data Scientist,Mid,147500.0,not public
Senior Data Scientist,Employer Provided Salary:$119K - $187K,"Job Description
Our company stands at the crossroads of healthcare as a leading entity, armed with a broad continuum of prescription medicines, vaccines, and animal health products. But our ambition reaches beyond today; we’re constructing a progressive healthcare company prepared to foster a healthier tomorrow for all.
The secret to our continued success? That’s where you come in. We believe that your integrity, knowledge, innovation, skill and diversity, together with an unwavering commitment to teamwork, are the engine of our excellence. We’re devoted to nurturing a work environment defined by mutual respect, encouragement, and collaboration.
As part of our global ensemble, you’ll be given the chance to work with talented individuals while enhancing and expanding your own career. In the Data Science team in HR, your role is crucial. You’ll translate business needs into data-driven research projects and products, shedding light on our company’s talent.


$118,640.00 - $186,800.00

Regular
No relocation
No
10%
Remote Work
1st - Day
No
N/A

Business Intelligence (BI), Database Design, Data Engineering, Data Modeling, Data Science, Data Visualization, Machine Learning, Project Management, Software Development, Stakeholder Relationships

Agile Application Development, Agile Application Development, Azure Machine Learning Studio, Cloud Computing, Cloud Infrastructure, Coaching, Collaboration Tools, Communication, Computer Engineering, Computer Networking, Data Analysis, Databricks Platform, Data Research, Deployment Software, Enterprise Software Management, HR Information Management, Human Capital, Human Capital Management Systems, Human Resource Management, Information Systems, Initiative Activity, Innovation, Leadership, Machine Learning Algorithms, Mechanical Engineering {+ 8 more}",4.2,"Merck Sharp & Dohme
4.2",NJ,10000+ Employees,1891,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),"(119000, 187000)",153000.0,Data Scientist,Senior,153000.0,public
"Data Scientist, AI Expertise",Employer Provided Salary:$115K - $155K,"Job ID: 234872
Location Name: CA-FSC SF Off (0174)
Address: 350 Mission St, 20th Floor, San Francisco, CA 94105, United States (US)
Job Type: Full Time
Position Type: Regular
Job Function: Information Technology
Remote Eligible:Hybrid Schedule

Company Overview:
At Sephora we inspire our customers, empower our teams, and help them become the best versions of themselves. We create an environment where people are valued, and differences are celebrated. Every day, our teams across the world bring to life our purpose: to expand the way the world sees beauty by empowering the Extra Ordinary in each of us. We are united by a common goal - to .",3.7,"Sephora
3.7",CA,10000+ Employees,1969,Company - Private,Beauty & Personal Accessories Stores,Retail & Wholesale,$1 to $5 billion (USD),"(115000, 155000)",135000.0,Data Scientist,Mid,135000.0,not public
Lead Data Scientist - Engagement & Customer Experience Analytics - Corporate Investment Banking,Employer Provided Salary:$143K - $210K,"JOB DESCRIPTION

Job Summary:

The Marketing and Communications Analytics Team leverages data and analytics across the firm to build meaningful insights for our marketers, which provides value to our clients and enhances dynamic advantages for our businesses. We have a strong partnership with our dedicated technology partners, who provide us with our cutting-edge data and analytics infrastructure.
The successful candidate will have the opportunity to develop and apply a variety of machine learning and predictive algorithms and influence the long-term evolution of our data science roadmap. This person will need to be entrepreneurial, able to deal with ambiguity and work in a highly collaborative environment. Also, they will identify specific and actionable opportunities to solve business problems and collaborate with multiple marketing teams to propel change.






The Corporate & Investment Bank is a global leader across investment banking, wholesale payments, markets and securities services. The world’s most important corporations, governments and institutions entrust us with their business in more than 100 countries. We provide strategic advice, raise capital, manage risk and extend liquidity in markets around the world.",4.0,"JPMorgan Chase & Co
4.0",NJ,10000+ Employees,1799,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD),"(143000, 210000)",176500.0,Data Scientist,Senior,176500.0,public
"Senior Data Scientist, Sponsored Products",Employer Provided Salary:$127K,"5+ years of data querying languages (e.g. SQL), scripting languages (e.g. Python) or statistical/mathematical software (e.g. R, SAS, Matlab, etc.) experience
4+ years of data scientist experience
Bachelor's degree
Experience with statistical models e.g. multinomial logistic regression
Amazon is investing heavily in building a world class advertising business and we are responsible for defining and delivering a collection of self-service performance advertising products that drive discovery and sales. Our products are strategically important to our Retail and Marketplace businesses driving long term growth. We deliver billions of ad impressions and millions of clicks daily and are breaking fresh ground to create world-class products. We are highly motivated, collaborative and fun-loving with an entrepreneurial spirit and bias for action. With a broad mandate to experiment and innovate, we are growing at an unprecedented rate with a seemingly endless range of new opportunities.

We are looking for a Senior Data Scientist to join our newly formed team in Marketplace Intelligence with a broad mandate to experiment and innovate to grow Sponsored Products internationally. As a senior DS in this team, you will help to identify unique opportunities to create customized and delightful shopping experience for our growing marketplaces worldwide. Your job will be identify big opportunities for the team that can help to grow SP business working with retail partner teams, Product managers, Software engineers and TPMs. You will have opportunity to design, run and analyze A/B experiments to improve the experience of millions of Amazon shoppers while driving quantifiable revenue impact. More importantly, you will have the opportunity to broaden your technical skills in an environment that thrives on creativity, experimentation, and product innovation.

We are open to hiring candidates to work out of one of the following locations:

Toronto (Canada), Arlington (VA-USA)

Team video ~ https://youtu.be/zD_6Lzw8raE

Key job responsibilities
We are open to hiring candidates to work out of one of the following locations:

Santa Monica, CA, USA

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.

Our compensation reflects the cost of labor across several US geographic markets. The base pay for this position ranges from $127,300/year in our lowest geographic market up to $247,600/year in our highest geographic market. Pay is based on a number of factors including market location and may vary depending on job-related knowledge, skills, and experience. Amazon is a total compensation company. Dependent on the position offered, equity, sign-on payments, and other forms of compensation may be provided as part of a total compensation package, in addition to a full range of medical, financial, and/or other benefits. For more information, please visit https://www.aboutamazon.com/workplace/employee-benefits. Applicants should apply via our internal or external career site.",3.7,"Amazon.com Services LLC
3.7",CA,10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),"(127000, 127000)",127000.0,Data Scientist,Senior,127000.0,public
Data Scientist,Employer Provided Salary:$82K - $140K,"Requisition ID: 377008
Work Area: Information Technology
Expected Travel: 0%
Career Status: Professional
Employment Type: Regular Full Time
Career Level: T2
Original Posting Date: 7/17/23
Recruiter Name: J.L. Andal
Additional Locations:

Original Posting Date: 7/17/2023
Data Scientist",4.4,"SAP
4.4",PA,10000+ Employees,1972,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),"(82000, 140000)",111000.0,Data Scientist,Mid,111000.0,public
Data Scientist,$90K - $125K (Glassdoor est.),"Data Scientist
Internal Medicine - Cardiology
83563BR
University Job Title
Data Scientist 1
Bargaining Unit
None - Not included in the union (Yale Union Group)
Time Type",4.2,"Yale University
4.2",CT,10000+ Employees,1701,Nonprofit Organization,Colleges & Universities,Education,$1 to $5 billion (USD),"(90000, 125000)",107500.0,Data Scientist,Mid,107500.0,not public
Principal Data Scientist,$129K - $169K (Glassdoor est.),"Company Description

Visa is a world leader in digital payments, facilitating more than 215 billion payments transactions between consumers, merchants, financial institutions and government entities across more than 200 countries and territories each year. Our mission is to connect the world through the most innovative, convenient, reliable and secure payments network, enabling individuals, businesses and economies to thrive.
When you join Visa, you join a culture of purpose and belonging – where your growth is priority, your identity is embraced, and the work you do matters. We believe that economies that include everyone everywhere, uplift everyone everywhere. Your work will have a direct impact on billions of people around the world – helping unlock financial access to enable the future of money movement.",4.1,"Visa
4.1",TX,10000+ Employees,1958,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),"(129000, 169000)",149000.0,Data Scientist,Senior,149000.0,public
Data Scientist,$99K - $135K (Glassdoor est.),"Join our collaborative and global team as a Data Scientist within Business Technology Solutions (BTS), supporting the Global Compound Logistics and Operations (GCLO) organization. In this role, you will have the opportunity to apply your lab experience to develop and enhance your business-tech skills while contributing to AbbVie's mission of positively impacting patients' lives by advancing the future of medicine. Our organization invests in your customized career development, providing you with the tools and resources needed to succeed.
In this role you will be responsible for:
Working closely with the Global Compound Logistics and Operations (GCLO) organization to understand business workflows and requirements and translate them into technical specifications and solutions.",3.9,"ABBVIE
3.9",MA,10000+ Employees,2013,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),"(99000, 135000)",117000.0,Data Scientist,Mid,117000.0,public
Senior Data Scientist ML Engineer,Employer Provided Salary:$160K - $220K,"To get the best candidate experience, please consider applying for a maximum of 3 roles within 12 months to ensure you are not duplicating efforts.
Job Category
Data
Job Details
About Salesforce
We’re Salesforce, the Customer Company, inspiring the future of business with AI+ Data +CRM. Leading with our core values, we help companies across every industry blaze new trails and connect with customers in a whole new way. And, we empower you to be a Trailblazer, too — driving your performance and career growth, charting new paths, and improving the state of the world. If you believe in business as the greatest platform for change and in companies doing well and doing good – you’ve come to the right place.
Pursuant to the San Francisco Fair Chance Ordinance and the Los Angeles Fair Chance Initiative for Hiring, Salesforce will consider for employment qualified applicants with arrest and conviction records.",4.1,"Salesforce
4.1",CA,10000+ Employees,1999,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),"(160000, 220000)",190000.0,Data Scientist,Senior,190000.0,public
Lead Data Science Analyst (multiple openings) - IHM,Employer Provided Salary:$104K - $140K,"Discover. A brighter future.
With us, you’ll do meaningful work from Day 1. Our collaborative culture is built on three core behaviors: We Play to Win, We Get Better Every Day & We Succeed Together. And we mean it — we want you to grow and make a difference at one of the world's leading digital banking and payments companies. We value what makes you unique so that you have an opportunity to shine.

Come build your future, while being the reason millions of people find a brighter financial future with Discover.

Job Description:
Employer: Discover Products Inc.

Job Title: Lead Data Science Analyst ( multiple openings)

Riverwoods, Illinois

Full Time

Work closely with management to execute analytical initiatives. Solve business problem by leveraging techniques such as segmentation, optimization, advanced analytics, and machine learning. Telecommuting and/or working from home may be permissible pursuant to company policies.

Employer will accept a Bachelor’s degree in Analytics, Data Science, Management Science, Statistics, Mathematics, or related field and 4 years of experience in the job offered or in a Senior Data Analyst; Data Scientist Intern or related occupation. Alternatively, employer will accept a Master’s degree in Analytics, Data Science, Management Science, Statistics, Mathematics, or related field and 2 years of experience in the job offered or in a Senior Data Analyst; Data Scientist Intern or related occupation.

Four (4) years of experience in the job offered or related occupation with a Bachelor’s degree, OR Two (2) years of experience in the job offered or related occupation with a Master’s degree: performing data manipulation and presenting data; managing relational databases to create and access data tables; executing advanced statistical techniques, including utilizing decision trees to cluster and perform data analysis and segmentation; and utilizing technologies, including SQL, SAS, Python, and R.

Position eligible for incentives under Employee Referral Program.

The base pay for this position generally ranges between $103,584.00 to $140,000.00. Additional incentives may be provided as part of a market competitive total compensation package. Factors, such as but not limited to, geographical location, relevant experience, education, and skill level may impact the pay for this position. We also offer a range of benefits and programs based on eligibility. Learn more at MyDiscoverBenefits.com .

Please apply directly through our website by clicking on “Apply Now.” No calls. Equal Opportunity Employer/disability/vet .

What are you waiting for? Apply today!

All Discover employees place our customers at the very center of our work. To deliver on our promises to our customers, each of us contribute every day to a culture that values compliance and risk management.

Discover is committed to a diverse and inclusive workplace. Discover is an equal opportunity employer and does not discriminate on the basis of race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, protected veteran status, or other legally protected status. (Know Your Rights)",3.8,"Discover Financial Services
3.8",IL,10000+ Employees,1985,Company - Public,Banking & Lending,Financial Services,$1 to $5 billion (USD),"(104000, 140000)",122000.0,Data Scientist,Senior,122000.0,public
"Data Scientist, EDA",$112K - $161K (Glassdoor est.),"Azurity Pharmaceuticals is a privately held, specialty pharmaceutical company that focuses on innovative products that meet the needs of underserved patients. As an industry leader in providing unique, accessible, and high-quality medications, Azurity leverages its integrated capabilities and vast partner network to continually expand its broad commercial product portfolio and robust late-stage pipeline. The company's patient-centric products span the cardiovascular, neurology, endocrinology, gastro-intestinal, institutional, and orphan markets, and have benefited millions of patients. For more information, visit www.azurity.com.
Azurity Pharmaceuticals is proud to be an inclusive workplace and an Equal Opportunity Employer. Azurity's success is attributable to our incredibly talented, dedicated team that focuses on benefiting the lives of patients by bringing the best science and commitment to quality into everything that we do. We seek highly motivated individuals with the dedication, integrity, and creative spirit needed to thrive in our organization.",3.0,"Azurity Pharmaceuticals
3.0",MA,201 to 500 Employees,1999,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$100 to $500 million (USD),"(112000, 161000)",136500.0,Data Scientist,Mid,136500.0,not public
Staff Data Scientist-Generative AI and NLP,Employer Provided Salary:$143K - $251K,"Company Description

At ServiceNow, our technology makes the world work for everyone, and our people make it possible. We move fast because the world can’t wait, and we innovate in ways no one else can for our customers and communities. By joining ServiceNow, you are part of an ambitious team of change makers who have a restless curiosity and a drive for ingenuity. We know that your best work happens when you live your best life and share your unique talents, so we do everything we can to make that possible. We dream big together, supporting each other to make our individual and collective dreams come true. The future is ours, and it starts with you.
With more than 7,700+ customers, we serve approximately 85% of the Fortune 500®, and we're proud to be one of FORTUNE 100 Best Companies to Work For® and World's Most Admired Companies™.






For positions in California (outside of the Bay Area), we offer a base pay of $143,370 - $250,830, plus equity (when applicable), variable/incentive compensation and benefits. Sales positions generally offer a competitive On Target Earnings (OTE) incentive compensation structure. Please note that the base pay shown is a guideline, and individual total compensation will vary based on factors such as qualifications, skill level, competencies and work location. We also offer health plans, including flexible spending accounts, a 401(k) Plan with company match, ESPP, matching donations, a flexible time away plan and family leave programs (subject to eligibility requirements). Compensation is based on the geographic location in which the role is located, and is subject to change based on work location. For individuals who will be working in the Bay Area, there is a pay enhancement for positions located in that geographical area; please contact your recruiter for additional information.",4.4,"ServiceNow
4.4",CA,10000+ Employees,2004,Company - Public,Enterprise Software & Network Solutions,Information Technology,$1 to $5 billion (USD),"(143000, 251000)",197000.0,Data Scientist,Senior,197000.0,public
Distinguished Data Scientist,Employer Provided Salary:$250K - $300K,"About the Company
At Torc, we have always believed that autonomous vehicle technology will transform how we travel, move freight, and do business.
A leader in autonomous driving since 2007, Torc has spent over a decade commercializing our solutions with experienced partners. Now a part of the Daimler family, we are focused solely on developing software for automated trucks to transform how the world moves freight.
Join us and catapult your career with the company that helped pioneer autonomous technology, and the first AV software company with the vision to partner directly with a truck manufacturer.",4.3,"Torc Robotics
4.3",TX,501 to 1000 Employees,2007,Company - Private,Software Development,Information Technology,$25 to $100 million (USD),"(250000, 300000)",275000.0,Data Scientist,Mid,275000.0,not public
Data Scientist,$92K - $130K (Glassdoor est.),"To support the continued growth of our enterprise, we are seeking a Data Scientist to utilize advanced analytics to provide accurate, relevant, and actionable insights that enable us to maintain and improve the profitability of all Colony Brands catalog titles. If you possess a passion for innovative analysis and cross-functional collaboration – this could be the place for you! You’ll develop models using a variety of statistical techniques, produce model prediction adjustments based on historical data and prepare reports outlining the testing and validation of each model. You’ll develop robust and flexible processes for major analytical production tasks and create automated, fail-safe tools for standard analytical tasks such as predictive modeling, profiling and clustering.

You’ll also be responsible for:",3.8,"Colony Brands, Inc.
3.8",WI,501 to 1000 Employees,-1,Company - Private,Food & Beverage Stores,Retail & Wholesale,$100 to $500 million (USD),"(92000, 130000)",111000.0,Data Scientist,Mid,111000.0,not public
Data Scientist-II- Global Services,Employer Provided Salary:$92K - $138K,"At F5, we strive to bring a better digital world to life. Our teams empower organizations across the globe to create, secure, and run applications that enhance how we experience our evolving digital world. We are passionate about cybersecurity, from protecting consumers from fraud to enabling companies to focus on innovation.

Everything we do centers around people. That means we obsess over how to make the lives of our customers, and their customers, better. And it means we prioritize a diverse F5 community where each individual can thrive.
Join our Global Services Data team within Global Services Support and help us realize our goal of providing insightful data visualization, machine learning modeling, and predictive analytics to help our business teams report on internal metrics.
**This opportunity is a hybrid role at our Seattle HQ location or Liberty Lake, WA
The annual U.S. base pay range for this position is: $92,225.00 - $138,337.00",4.0,"f5
4.0",WA,5001 to 10000 Employees,1996,Company - Public,Computer Hardware Development,Information Technology,$1 to $5 billion (USD),"(92000, 138000)",115000.0,Data Scientist,Mid,115000.0,public
Data Scientist II,Employer Provided Salary:$85K - $118K,"Date: Aug 21, 2023
Primary Location: Charlotte, NC, US
Company: Lincoln Financial
Alternate Locations: Charlotte, NC (North Carolina)

Work Arrangement:
Hybrid/Common Days+ : Work 2-3 days a week in a Lincoln office with a designated workspace.

Relocation assistance: is not available for this opportunity.",3.6,"Lincoln Financial
3.6",NC,10000+ Employees,1905,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),"(85000, 118000)",101500.0,Data Scientist,Mid,101500.0,public
Data Scientist I,$92K - $121K (Glassdoor est.),"Develop decision support systems, manage their implementation, and provide support and maintenance. Define system scope, objectives and requirements based on standards and guidance from architects and senior team members. Collaborate with other IT partners within the company. Interact with internal customers to identify business requirements and develop the best course of actions to meet their needs.
Activities and Responsibilities
Use data science and analytics techniques to develop and maintain models that provide business with actionable insights to enable service excellence, drive efficiencies, profitable growth and improve cash flows.
Collaborate with team members, departmental managers, information engineers and software developers to gather requirements and work towards delivering complete analytics/reporting solutions that help improve organizational decision making.",2.9,"CSX
2.9",FL,10000+ Employees,1978,Company - Public,Rail Transportation,Transportation & Logistics,$10+ billion (USD),"(92000, 121000)",106500.0,Data Scientist,Mid,106500.0,public
Data Scientist,Employer Provided Salary:$90K - $100K,"Position Summary
HDC seeks a Data Scientist to lead data analysis projects to inform high-priority policy and operational discussions. The data scientist will also support the implementation of our data governance program and assist in building key data resources for use across the Corporation. Our data analytics and governance programs are the result of concerted investments in the Corporation’s data infrastructure necessary to support our growing lending activities and portfolio. Accordingly, the Data Scientist will infuse best practices in data analytics and data stewardship into the agency’s culture. This position will report to the Director of Data Management and, as part of the Division of Policy and Analytics, will have significant contact with senior agency leaders and stakeholders across all agency departments.",3.9,"New York City Housing Development Corporation (HDC)
3.9",NY,51 to 200 Employees,-1,Self-employed,Municipal Agencies,Government & Public Administration,$5 to $25 million (USD),"(90000, 100000)",95000.0,Data Scientist,Mid,95000.0,not public
Data Scientist III (hybrid/remote),$80K - $122K (Glassdoor est.),"Summary: This role is responsible for employing a logical, systematic approach to problem solving and research using analytical techniques to achieve business objectives and drive change. Responsible for gathering and synthesizing data and other relevant information to develop fact-based conclusions and make business recommendations for all areas of the business.
What You’ll Be Doing:
Translates corporate strategy into analytic projects that inform and drive business performance.
Creates, documents, tests, deploys, audits, and manages statistical techniques and predictive models.
Works with the Data Warehouse, IT, business units, and third-party companies to assess and incorporate demographic, firmographic, geographic, telematic, internet-of-things (IOT), drone, wearables, sensor, social media, and other data sources for analytic benefit.",3.8,"Grange Insurance Company
3.8",OH,501 to 1000 Employees,1935,Company - Private,Insurance Carriers,Insurance,$1 to $5 billion (USD),"(80000, 122000)",101000.0,Data Scientist,Mid,101000.0,not public
Senior Data Scientist,$151K - $194K (Glassdoor est.),"Overview
Intuit is looking for innovative and hands-on Senior Data Scientist to join the Intuit AI team.

This team embeds artificial intelligence and machine learning into our product portfolio and business to create smarter products, improve anti-fraud and security and enhance customer care. Come join our collaborative and creative group of data scientists and machine learning engineers and build models that directly affect hundreds of thousands of our customers. In this role you will be building and deploying machine learning models using both analytical algorithms and deep learning approaches.",4.5,"Intuit
4.5",CA,10000+ Employees,1983,Company - Public,Software Development,Information Technology,$10+ billion (USD),"(151000, 194000)",172500.0,Data Scientist,Senior,172500.0,public
Junior Data Scientist,$79K - $115K (Glassdoor est.),"The Junior Data Scientist will be responsible for examining and identifying patterns in different types of data formats, including ordinal, nominal, discrete, continuous, spatial, and temporal. This role includes cleaning and preprocessing the data prior to statistical analysis, extracting descriptive statistics from the target data, and performing inferential statistical analysis to identify features about the parent population(s). This role also includes leveraging state of the art and open-source software packages, such as SAS, R, PyTorch, and others to build automated pipelines to streamline data analyses. The developer will research and develop applications leveraging exploratory data analysis, machine learning techniques, and assist in transition to production applications through software prototypes and experimentation. The role applies proven problem-solving, analytical and communication skills to successfully apply complex techniques and tools to automate the analysis of large, complex data.",3.8,"Edaptive Computing, Inc.
3.8",OH,51 to 200 Employees,-1,Company - Private,Computer Hardware Development,Information Technology,$5 to $25 million (USD),"(79000, 115000)",97000.0,Data Scientist,Junior,97000.0,not public
